venue,n_race,date
ST,14,1996/01/01
HV,14,1995/12/02
ST,14,1996/01/06
HV,14,1996/01/10
ST,14,1996/01/14
HV,14,1996/01/17
ST,14,1996/01/20
ST,14,1996/01/24
ST,14,1996/01/27
ST,14,1996/01/31
HV,14,1995/12/06
ST,14,1995/12/10
ST,14,1995/12/13
ST,14,1995/12/16
ST,14,1995/12/20
ST,14,1996/03/02
ST,14,1996/02/03
HV,14,1996/03/06
ST,14,1996/03/10
HV,14,1996/03/13
ST,14,1996/03/16
HV,14,1996/03/20
ST,14,1996/03/23
ST,14,1996/03/30
HV,14,1996/02/07
HV,14,1996/02/10
ST,14,1996/02/11
ST,14,1996/02/21
ST,14,1996/02/25
HV,14,1996/02/28
HV,14,1996/05/01
HV,14,1996/04/03
ST,14,1996/05/04
HV,14,1996/05/08
ST,14,1996/05/11
HV,14,1996/05/15
ST,14,1996/05/19
ST,14,1996/05/25
HV,14,1996/05/29
ST,14,1996/04/06
HV,14,1996/04/10
ST,14,1996/04/14
HV,14,1996/04/17
ST,14,1996/04/20
HV,14,1996/04/24
ST,14,1996/04/28
ST,14,1996/06/01
HV,14,1996/06/05
ST,14,1996/06/09
HV,14,1996/10/02
ST,14,1996/09/08
ST,14,1996/10/06
HV,14,1996/10/09
ST,14,1996/10/12
HV,14,1996/10/16
HV,14,1996/10/19
ST,14,1996/10/23
ST,14,1996/10/27
ST,14,1996/10/30
HV,14,1996/09/11
ST,14,1996/09/14
HV,14,1996/09/18
ST,14,1996/09/21
HV,14,1996/09/25
ST,14,1996/09/28
HV,14,1996/12/04
ST,14,1996/11/02
ST,14,1996/12/08
HV,14,1996/12/11
ST,14,1996/12/14
HV,14,1996/12/18
ST,14,1996/12/29
ST,14,1996/11/09
HV,14,1996/11/13
ST,14,1996/11/16
HV,14,1996/11/20
ST,14,1996/11/24
HV,14,1996/11/27
HV,14,1996/11/30
ST,14,1997/02/09
ST,14,1997/01/01
HV,14,1997/02/12
ST,14,1997/02/15
HV,14,1997/02/19
ST,14,1997/02/23
HV,14,1997/02/26
ST,14,1997/01/04
